date,casesCumul,deathsCumul,hospi,hospiNew,icu,icuNew,returnHomeCumul,deathsHospiCumul,casesEhpadEmsCumul,deathsEhpadEmsCumul
2021-04-13,5106329,99480,31226,2501,5952,555,313051,73335,,26145
2021-04-14,5149834,99777,30868,2072,5902,441,315152,73632,,26145
2021-04-15,5187879,100073,30668,2062,5924,501,317036,73928,,26145
2021-04-16,5224321,100404,30472,2044,5914,463,318923,74234,,26170
2021-04-17,5260182,100593,30329,1471,5877,359,320275,74423,,26170
2021-04-18,5289526,100733,30789,1111,5893,233,320757,74563,,26170
2021-04-19,5296222,101180,31214,2066,5970,502,321889,75010,,26170
2021-04-20,5339320,101568,31086,2404,5984,601,323961,75384,,26184
2021-04-21,5374288,101881,30954,2095,5959,476,325811,75697,,26184
2021-04-22,5408606,102164,30634,1878,5981,478,327668,75980,,26184
2021-04-23,5440946,102496,30438,1932,5962,436,329405,76285,,26211
2021-04-24,5473579,102713,30100,1368,5958,348,330838,76502,,26211
2021-04-25,5498044,102858,30287,881,5978,218,331362,76647,,26211
2021-04-26,5503996,103256,30596,1944,6001,470,332563,77045,,26211
2021-04-27,5534313,103603,30281,2109,5943,484,334577,77370,,26233
2021-04-28,5565852,103918,29911,1708,5879,349,336281,77685,,26233
2021-04-29,5592390,104224,29487,1711,5804,392,338000,77991,,26233
2021-04-30,5616689,104514,28930,1433,5675,323,339650,78261,,26253
2021-05-01,5642359,104706,28603,1246,5581,310,340997,78453,,26253
2021-05-02,5652247,104819,28818,798,5585,173,341458,78566,,26253
2021-05-03,5656007,105130,28950,1495,5630,386,342451,78877,,26253
2021-05-04,5680378,105387,28427,1591,5504,355,344265,79120,,26267
2021-05-05,5706378,105631,27686,1459,5402,312,346184,79364,,26267
2021-05-06,5728090,105850,26985,1151,5231,273,347768,79583,,26267
2021-05-07,5747214,106101,26331,1140,5106,269,349293,79809,,26292
2021-05-08,5767959,106277,25800,844,5005,191,350471,79985,,26292
2021-05-09,5777087,106392,25797,527,4971,124,350873,80100,,26292
2021-05-10,5780379,106684,25666,1125,4870,265,351795,80392,,26292
2021-05-11,5800170,106935,25028,1239,4743,285,353370,80628,,26307
2021-05-12,5821668,107119,24254,965,4583,217,354860,80812,,26307
2021-05-13,5841129,107250,23656,618,4442,139,355927,80943,,26307
2021-05-14,5848154,107423,23406,733,4352,152,356700,81116,,26307
2021-05-15,5863839,107535,22950,580,4271,134,357613,81228,,26307
2021-05-16,5877787,107616,22963,416,4255,102,357928,81309,,26307
2021-05-17,5881137,107812,22749,871,4186,204,358776,81505,,26307
2021-05-18,5898347,108040,22058,996,4015,247,360213,81692,,26348
2021-05-19,5917397,108181,21347,712,3862,168,361460,81833,,26348
2021-05-20,5568551,108314,20750,709,3769,202,362593,81966,,26348
2021-05-21,5581351,108437,20209,625,3631,139,363600,82075,,26362
2021-05-22,5593962,108526,19765,468,3544,115,364391,82164,,26362
2021-05-23,5603666,108596,19720,324,3515,73,364695,82234,,26362
2021-05-24,5605895,108658,19701,260,3496,66,364902,82296,,26362
2021-05-25,5609050,108879,19430,796,3447,205,365739,82494,,26385
2021-05-26,5621696,109023,18593,671,3330,181,367046,82638,,26385
2021-05-27,5635629,109165,17941,499,3206,127,368023,82780,,26385
2021-05-28,5646897,109290,17272,539,3104,155,369109,82878,,26412
2021-05-29,5657572,109358,16847,334,3028,93,369789,82946,,26412
2021-05-30,5666113,109402,16775,199,2993,43,370014,82990,,26412
2021-05-31,5667324,109528,16596,529,2945,140,370577,83116,,26412
2021-06-01,5677172,109662,16088,596,2825,145,371500,83243,,26419
2021-06-02,5685915,109758,15638,491,2754,106,372310,83339,,26419
2021-06-03,5694076,109828,15283,458,2677,94,373033,83409,,26419
2021-06-04,5701029,109916,14801,408,2571,91,373818,83490,,26426
2021-06-05,5707683,109973,14532,267,2525,62,374281,83547,,26426
2021-06-06,5712753,109998,14525,154,2527,52,374416,83572,,26426
2021-06-07,5713917,110062,14323,383,2472,97,374909,83636,,26426
2021-06-08,5719935,110137,13984,405,2394,106,375569,83708,,26429
2021-06-09,5725492,110202,13526,391,2326,94,376342,83773,,26429
2021-06-10,5729967,110270,13090,297,2245,74,376974,83841,,26429
2021-06-11,5733838,110344,12712,313,2163,66,377596,83910,,26434
2021-06-12,5737810,110378,12496,198,2110,48,377961,83944,,26434
2021-06-13,5740665,110391,12480,111,2106,26,378063,83957,,26434
2021-06-14,5741354,110454,12374,325,2068,71,378429,84020,,26434
2021-06-15,5744589,110534,11895,300,1952,69,379108,84096,,26438
2021-06-16,5747647,110578,11519,198,1873,39,379635,84140,,26438
2021-06-17,5750433,110634,11114,225,1799,46,380195,84196,,26438
2021-06-18,5752872,110702,10738,171,1740,53,380667,84246,,26456
2021-06-19,5755496,110724,10531,102,1703,24,380930,84268,,26456
2021-06-20,5757311,110738,10518,51,1703,15,380979,84282,,26456
2021-06-21,5757798,110778,10386,216,1655,48,381278,84322,,26456
2021-06-22,5760002,110829,10046,181,1560,47,381726,84373,,26456
2021-06-23,5762322,110862,9771,167,1509,42,382124,84406,,26456
2021-06-24,5764329,110906,9392,140,1439,27,382593,84450,,26456
2021-06-25,5766315,110939,9190,148,1389,39,382897,84483,,26456
2021-06-26,5768443,110951,9024,81,1349,14,383122,84495,,26456
2021-06-27,5770021,110968,8986,42,1345,13,383185,84512,,26456
2021-06-28,5770530,111012,8846,176,1304,41,383447,84556,,26456
2021-06-29,5772844,111057,8627,134,1250,29,383768,84584,,26473
2021-06-30,5775301,111082,8451,158,1204,31,384051,84609,,26473
2021-07-01,5777965,111111,8232,109,1162,30,384338,84638,,26473
